date,year,month,unemployment_rate,cpi,cpi_lag12,inflation
2005-01,2005,1,16.7,114.08,,
2005-02,2005,2,17.6,114.48,,
2005-03,2005,3,17.3,115.07,,
2005-04,2005,4,17.3,115.49,,
2005-05,2005,5,17.3,116.12,,
2005-06,2005,6,17.6,116.87,,
2005-07,2005,7,17.2,117.06,,
2005-08,2005,8,16.7,118.72,,
2005-09,2005,9,17.0,119.51,,
2005-10,2005,10,16.8,120.37,,
2005-11,2005,11,16.5,121.57,,
2005-12,2005,12,16.7,122.49,,
2006-01,2006,1,16.8,123.44,114.08,8.20476858345021
2006-02,2006,2,16.4,124.03,114.48,8.342068483577915
2006-03,2006,3,16.8,124.58,115.07,8.26453463109412
2006-04,2006,4,15.2,125.68,115.49,8.82327474240195
2006-05,2006,5,15.6,127.63,116.12,9.912159834653798
2006-06,2006,6,15.6,128.88,116.87,10.276375459912716
2006-07,2006,7,15.7,131.01,117.06,11.916965658636586
2006-08,2006,8,16.0,131.16,118.72,10.47843665768194
2006-09,2006,9,15.8,132.36,119.51,10.75223830641788
2006-10,2006,10,16.2,132.39,120.37,9.985876879621152
2006-11,2006,11,16.0,133.66,121.57,9.944887719009628
2006-12,2006,12,15.9,134.4,122.49,9.723242713690922
2007-01,2007,1,16.2,135.67,123.44,9.90764744005184
2007-02,2007,2,15.6,136.44,124.03,10.005643795855839
2007-03,2007,3,16.3,137.77,124.58,10.587574249478257
2007-04,2007,4,17.0,138.81,125.68,10.44716740929344
2007-05,2007,5,17.0,139.2,127.63,9.065266786805605
2007-06,2007,6,16.9,139.91,128.88,8.558348851644942
2007-07,2007,7,17.4,140.06,131.01,6.90786962827266
2007-08,2007,8,16.8,141.16,131.16,7.624275693809087
2007-09,2007,9,17.0,142.04,132.36,7.3133877304321375
2007-10,2007,10,16.9,142.72,132.39,7.802704131732015
2007-11,2007,11,17.1,144.96,133.66,8.454286996857707
2007-12,2007,12,16.8,145.75,134.4,8.444940476190471
2008-01,2008,1,16.6,147.02,135.67,8.365887816024193
2008-02,2008,2,17.0,148.99,136.44,9.19818235121666
2008-03,2008,3,17.4,150.43,137.77,9.189228424185233
2008-04,2008,4,15.2,152.23,138.81,9.667891362293773
2008-05,2008,5,16.9,154.11,139.2,10.711206896551744
2008-06,2008,6,18.1,154.51,139.91,10.435279822743187
2008-07,2008,7,18.1,156.57,140.06,11.787805226331566
2008-08,2008,8,18.4,156.99,141.16,11.21422499291585
2008-09,2008,9,18.8,157.23,142.04,10.694170656153196
2008-10,2008,10,19.9,159.63,142.72,11.848374439461882
2008-11,2008,11,20.1,160.56,144.96,10.761589403973506
2008-12,2008,12,21.8,160.49,145.75,10.113207547169818
2009-01,2009,1,22.1,161.02,147.02,9.522513943681131
2009-02,2009,2,22.5,160.69,148.99,7.852876031948444
2009-03,2009,3,23.0,162.26,150.43,7.8641228478361915
2009-04,2009,4,24.2,161.57,152.23,6.135452933061817
2009-05,2009,5,24.8,162.31,154.11,5.320874699889681
2009-06,2009,6,23.6,163.7,154.51,5.947835091579832
2009-07,2009,7,22.4,165.17,156.57,5.492750846266842
2009-08,2009,8,22.6,165.34,156.99,5.318810115293964
2009-09,2009,9,21.9,165.62,157.23,5.336131781466651
2009-10,2009,10,22.1,167.78,159.63,5.105556599636663
2009-11,2009,11,21.7,169.54,160.56,5.5929247633283445
2009-12,2009,12,21.9,170.99,160.49,6.542463704903732
2010-01,2010,1,21.5,174.14,161.02,8.148056142094134
2010-02,2010,2,21.7,176.56,160.69,9.876159064036347
2010-03,2010,3,20.5,177.53,162.26,9.410822137310495
2010-04,2010,4,19.9,177.85,161.57,10.076127994058304
2010-05,2010,5,19.5,177.11,162.31,9.118353767481986
2010-06,2010,6,19.4,177.25,163.7,8.277336591325604
2010-07,2010,7,19.4,177.37,165.17,7.386329236544177
2010-08,2010,8,19.6,179.16,165.34,8.35853393008346
2010-09,2010,9,20.6,181.43,165.62,9.545948556937569
2010-10,2010,10,18.5,182.58,167.78,8.821075217546793
2010-11,2010,11,18.5,182.16,169.54,7.443671110062525
2010-12,2010,12,18.7,182.08,170.99,6.485759401134571
2011-01,2011,1,17.7,182.68,174.14,4.904100149305169
2011-02,2011,2,16.5,183.96,176.56,4.1912097870412355
2011-03,2011,3,16.6,184.71,177.53,4.044386864191972
2011-04,2011,4,17.1,185.5,177.85,4.301377565364074
2011-05,2011,5,17.1,189.88,177.11,7.210208345096257
2011-06,2011,6,17.4,188.33,177.25,6.251057827926665
2011-07,2011,7,17.2,188.52,177.37,6.286294187292104
2011-08,2011,8,16.7,190.79,179.16,6.491404331323953
2011-09,2011,9,16.7,192.08,181.43,5.8700325194289835
2011-10,2011,10,14.8,196.4,182.58,7.569284697119066
2011-11,2011,11,15.4,199.39,182.16,9.458717610891519
2011-12,2011,12,15.0,201.12,182.08,10.456942003514934
2012-01,2012,1,15.0,201.99,182.68,10.570396321436393
2012-02,2012,2,15.2,203.18,183.96,10.447923461622091
2012-03,2012,3,15.2,204.02,184.71,10.454225542742678
2012-04,2012,4,15.6,206.07,185.5,11.088948787061991
2012-05,2012,5,15.8,205.68,189.88,8.321044870444497
2012-06,2012,6,15.3,204.96,188.33,8.830244783093503
2012-07,2012,7,14.8,205.47,188.52,8.991088478675996
2012-08,2012,8,15.1,207.58,190.79,8.800251585512878
2012-09,2012,9,15.3,209.73,192.08,9.188879633486035
2012-10,2012,10,15.8,211.7,196.4,7.790224032586549
2012-11,2012,11,16.2,212.13,199.39,6.389487938211551
2012-12,2012,12,16.7,213.53,201.12,6.17044550517104
2013-01,2013,1,16.5,216.63,201.99,7.247883558592003
2013-02,2013,2,16.3,217.46,203.18,7.028250812087804
2013-03,2013,3,16.6,218.72,204.02,7.205175963140863
2013-04,2013,4,16.5,218.56,206.07,6.061047216965114
2013-05,2013,5,16.0,219.0,205.68,6.476079346557756
2013-06,2013,6,16.3,222.15,204.96,8.387002341920374
2013-07,2013,7,16.9,223.79,205.47,8.916143475933223
2013-08,2013,8,16.7,224.41,207.58,8.107717506503509
2013-09,2013,9,16.2,226.07,209.73,7.790969341534355
2013-10,2013,10,17.6,227.86,211.7,7.633443552196518
2013-11,2013,11,17.2,227.73,212.13,7.353981049356524
2013-12,2013,12,16.3,229.55,213.53,7.502458670912756
2014-01,2014,1,16.3,233.65,216.63,7.856714213174543
2014-02,2014,2,16.7,235.06,217.46,8.093442472178788
2014-03,2014,3,16.9,237.44,218.72,8.558888076079004
2014-04,2014,4,17.4,239.14,218.56,9.41617862371888
2014-05,2014,5,17.4,240.17,219.0,9.66666666666666
2014-06,2014,6,17.5,242.52,222.15,9.169480081026334
2014-07,2014,7,18.0,244.48,223.79,9.24527458778319
2014-08,2014,8,18.3,245.81,224.41,9.536116928835616
2014-09,2014,9,18.3,246.2,226.07,8.904321670279115
2014-10,2014,10,18.5,248.2,227.86,8.926533836566302
2014-11,2014,11,18.7,248.57,227.73,9.151187810126029
2014-12,2014,12,18.9,248.32,229.55,8.176867784796332
2015-01,2015,1,19.0,250.45,233.65,7.1902418146800695
2015-02,2015,2,19.0,252.56,235.06,7.444907683144729
2015-03,2015,3,19.2,255.35,237.44,7.542958221024257
2015-04,2015,4,18.5,257.96,239.14,7.869867023500876
2015-05,2015,5,18.5,259.56,240.17,8.073447974351508
2015-06,2015,6,18.7,259.86,242.52,7.14992577931717
2015-07,2015,7,18.1,261.03,244.48,6.769469895287951
2015-08,2015,8,18.2,263.26,245.81,7.09897888613156
2015-09,2015,9,18.2,265.79,246.2,7.956945572705131
2015-10,2015,10,18.3,267.01,248.2,7.578565672844481
2015-11,2015,11,18.0,268.64,248.57,8.074184334392724
2015-12,2015,12,17.5,270.05,248.32,8.750805412371141
2016-01,2016,1,17.7,274.07,250.45,9.43102415651827
2016-02,2016,2,18.0,274.62,252.56,8.734558124802028
2016-03,2016,3,17.7,274.68,255.35,7.570001958096735
2016-04,2016,4,18.6,275.26,257.96,6.70646611877811
2016-05,2016,5,19.1,276.72,259.56,6.611188164586232
2016-06,2016,6,19.1,279.69,259.86,7.631032094204565
2016-07,2016,7,19.7,284.1,261.03,8.838064590277
2016-08,2016,8,19.6,284.46,263.26,8.052875484312082
2016-09,2016,9,20.3,285.19,265.79,7.298995447533758
2016-10,2016,10,20.8,286.29,267.01,7.220703344444039
2016-11,2016,11,21.3,287.62,268.64,7.065217391304356
2016-12,2016,12,22.2,293.17,270.05,8.561377522680987
2017-01,2017,1,22.0,299.23,274.07,9.180136461487951
2017-02,2017,2,21.4,302.18,274.62,10.035685674750566
2017-03,2017,3,21.9,304.67,274.68,10.918159312654728
2017-04,2017,4,21.4,306.72,275.26,11.429194216377256
2017-05,2017,5,20.8,307.93,276.72,11.278548713501003
2017-06,2017,6,20.9,308.12,279.69,10.164825342343311
2017-07,2017,7,20.4,310.18,284.1,9.179866244280177
2017-08,2017,8,20.5,313.5,284.46,10.208816705336435
2017-09,2017,9,19.5,315.47,285.19,10.617483081454479
2017-10,2017,10,19.2,319.74,286.29,11.683956826993604
2017-11,2017,11,19.0,324.91,287.62,12.965023294624858
2017-12,2017,12,18.2,328.01,293.17,11.883889893235997
2018-01,2018,1,18.3,330.33,299.23,10.393342913477914
2018-02,2018,2,18.6,333.32,302.18,10.305116155933543
2018-03,2018,3,18.1,336.25,304.67,10.365313289788947
2018-04,2018,4,18.4,340.7,306.72,11.078508085550325
2018-05,2018,5,19.5,345.92,307.93,12.337219497937845
2018-06,2018,6,19.3,355.68,308.12,15.43554459301571
2018-07,2018,7,19.8,359.69,310.18,15.96169965826294
2018-08,2018,8,19.6,369.81,313.5,17.96172248803828
2018-09,2018,9,20.9,392.72,315.47,24.48727295780898
2018-10,2018,10,22.0,400.19,319.74,25.161068368049033
2018-11,2018,11,21.8,394.95,324.91,21.556738789203152
2018-12,2018,12,24.6,394.42,328.01,20.24633395323314
2019-01,2019,1,25.1,396.65,330.33,20.07689280416553
2019-02,2019,2,25.2,397.71,333.32,19.317772710908432
2019-03,2019,3,25.7,401.1,336.25,19.28624535315986
2019-04,2019,4,25.4,406.07,340.7,19.18696800704432
2019-05,2019,5,23.9,410.55,345.92,18.68351063829787
2019-06,2019,6,25.6,411.78,355.68,15.772604588394051
2019-07,2019,7,25.2,419.6,359.69,16.656009341377302
2019-08,2019,8,27.0,425.07,369.81,14.942808469213917
2019-09,2019,9,25.9,429.15,392.72,9.276329191281308
2019-10,2019,10,25.1,435.06,400.19,8.71336115345211
2019-11,2019,11,25.5,437.25,394.95,10.71021648309913
2019-12,2019,12,23.7,441.55,394.42,11.949191217483898
2020-01,2020,1,24.1,445.14,396.65,12.224883398462124
2020-02,2020,2,23.4,446.63,397.71,12.300419903950118
2020-03,2020,3,23.0,448.75,401.1,11.879830466217895
2020-04,2020,4,24.3,450.38,406.07,10.911911739355284
2020-05,2020,5,25.0,456.67,410.55,11.23371087565461
